sep=,
PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,dv[1],dv[2],dv[3],Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
50, 747952045, -35.505924224853516, -9.844943046569824, 177.7395782470703, 0.0651354193687439, -0.19264155626296997, 0.2794778347015381, 4.13257360458374, -11.555817604064941, 16.71664047241211, 2.4850196838378906, -96.45162963867188, 6.22927188873291, 
51, 747968712, -35.58600997924805, -13.052146911621094, 179.0425262451172, 0.040261685848236084, -0.1898842453956604, 0.3460592031478882, 3.106980562210083, -11.342079162597656, 20.702775955200195, 10.471104621887207, -201.83242797851562, -49.76084518432617, 
52, 747985379, -35.7280387878418, -19.074737548828125, -178.65005493164062, -0.07797569036483765, -0.23750871419906616, 0.4789859652519226, -2.905001640319824, -14.186881065368652, 29.021257400512695, 29.680307388305664, -371.9913024902344, -102.83251190185547, 
53, 748002046, -35.40678405761719, -29.52686309814453, -176.61038208007812, -0.36982548236846924, -0.6204032897949219, 0.6085970997810364, -17.574453353881836, -37.67129898071289, 38.62593078613281, 69.57682037353516, -576.1531372070312, -274.345458984375, 
54, 748018713, -31.44221305847168, -46.45182800292969, -177.68887329101562, 0.05151057243347168, -0.9201922416687012, 0.5686711072921753, 12.019472122192383, -53.69263458251953, 34.95936965942383, 196.2856903076172, -821.0346069335938, -603.0725708007812, 
55, 748035380, -33.67143630981445, -66.17591094970703, -177.21250915527344, 1.083776593208313, -0.362213671207428, 0.3602104187011719, 69.51564025878906, -15.9548978805542, 11.517183303833008, -108.15962982177734, -1007.7081909179688, -624.8328857421875, 
56, 748052047, -69.49481964111328, -82.28302001953125, -139.85049438476562, 1.801367998123169, -0.9762601256370544, -0.22935819625854492, 108.03589630126953, -53.22175216674805, -29.897472381591797, 33.64234924316406, -1041.3963623046875, -345.5416564941406, 
57, 748068714, -114.90811157226562, -79.01917266845703, -86.46282196044922, 1.45405912399292, -0.7403662800788879, 0.5358276963233948, 88.5381851196289, -44.3975830078125, 28.50881576538086, 442.2445373535156, -509.1722412109375, 154.20712280273438, 
58, 748085381, -134.05690002441406, -74.01815032958984, -63.14863204956055, 0.5645127892494202, 0.08853495121002197, 1.161224365234375, 38.27642822265625, 7.157280921936035, 67.25214385986328, 213.3715362548828, -434.76544189453125, 56.99211883544922, 
59, 748102048, -162.03065490722656, -71.03517150878906, -40.91157531738281, 0.6844784617424011, 0.09466922283172607, 1.0642306804656982, 44.22625732421875, 3.478123188018799, 61.92024230957031, -403.52569580078125, -362.54205322265625, -246.43630981445312, 
60, 748118715, 176.29644775390625, -71.62254333496094, -24.142335891723633, 0.6791253685951233, -0.711650550365448, 0.8056949377059937, 42.828182220458984, -43.14142990112305, 46.129825592041016, -346.25701904296875, -8.618019104003906, -324.25653076171875, 
